CTID,OwnerCTID,PublisherCTID
ce-0741f5e6-68e3-4023-ba3c-d32d107b9eaf,ce-71cd8489-246a-492b-a374-6ea5ff905579,ce-960c3835-4b9a-4d89-85d6-7207f1dbedba
ce-0743e82b-1cdd-4154-ab87-ca6540f9a517,ce-9fe93f5f-e0cf-40b2-9194-2ed178e115bb,ce-9bd8c615-9f3c-40e6-9c20-6d9f811844e6
ce-074c4933-e118-40ae-a430-28b42ea4ff71,ce-074c4933-e118-40ae-a430-28b42ea4ff71,ce-074c4933-e118-40ae-a430-28b42ea4ff71
ce-074d7dc8-b953-4fd0-966b-8dbb36910d86,ce-886e0dba-db0a-40f9-9067-1b282853d3fd,ce-886e0dba-db0a-40f9-9067-1b282853d3fd
ce-074fad84-3bdc-4481-b18c-dfe688372006,ce-93e234ef-1375-4f8b-b31d-8eef14a1c5c9,ce-93e234ef-1375-4f8b-b31d-8eef14a1c5c9
ce-07659f64-ca12-4621-98ed-55af45db469f,ce-2e2bf648-91f4-43ac-9039-f9045272a8b2,ce-960c3835-4b9a-4d89-85d6-7207f1dbedba
ce-077c715f-d077-4dbb-b36d-e76b1cc9ec32,ce-67c45100-b6d7-413d-9924-f0d5adb825f1,ce-9bd8c615-9f3c-40e6-9c20-6d9f811844e6
ce-077e7ba8-f1b5-44a9-8e87-4433a8420119,ce-76c88e16-1f88-45b5-88bb-f54d61b32d07,ce-960c3835-4b9a-4d89-85d6-7207f1dbedba
ce-078069c4-ab24-43bd-8680-b96b16ea6251,ce-886e0dba-db0a-40f9-9067-1b282853d3fd,ce-9bd8c615-9f3c-40e6-9c20-6d9f811844e6
ce-079627ca-585f-44ff-b702-67eb18b4c7ea,ce-079627ca-585f-44ff-b702-67eb18b4c7ea,ce-9bd8c615-9f3c-40e6-9c20-6d9f811844e6
ce-0796ac27-e4d0-4222-ba63-07e3d028ba6a,ce-76c88e16-1f88-45b5-88bb-f54d61b32d07,ce-960c3835-4b9a-4d89-85d6-7207f1dbedba
ce-0797c551-caef-4128-a000-5d3881b1f059,ce-426b285f-0c08-4c56-b669-03d22a79d550,ce-426b285f-0c08-4c56-b669-03d22a79d550
ce-07a2af1e-7ea7-4e77-8f72-ecba4221d39e,ce-9fe93f5f-e0cf-40b2-9194-2ed178e115bb,ce-9fe93f5f-e0cf-40b2-9194-2ed178e115bb
ce-07ac52a2-ecdd-4e86-8569-c20c83491e95,ce-b6cf437b-e6b7-49b1-99a2-5c74c4c0b773,ce-960c3835-4b9a-4d89-85d6-7207f1dbedba
